protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
ITRACONAZOLE	QUINIDINE	CONTRE-INDICATION Risque majore de troubles du rythme ventriculaire, notamment de 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes, ainsi que d'acouphenes et/ou de diminution de l'acuite auditive (cinchonisme), par diminution du metabolisme hepatique de la quinidine.				
ITRACONAZOLE	SALMETEROL	A prendre en compte Augmentation importante des concentrations de salmeterol par 	Voir aussi : inhibiteurs puissants du CYP3A4	Augmentation importante des concentrations de salmeterol par diminution de son metabolisme hepatique par l'itraconazole.				
ITRACONAZOLE	SIMVASTATINE	CONTRE-INDICATION Risque majore d'effets indesirables (concentration-dependants) a 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse (diminution du metabolisme hepatique de la simvastatine).				
ITRACONAZOLE	TELAPREVIR	Precaution d'emploi Surveillance clinique. Eviter des doses elevees d'itraconazole (> 200 mg par jour). 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque d'augmentation des concentrations plasmatiques de telaprevir et de l'itraconazole.			 Surveillance clinique. Eviter des doses elevees d'itraconazole (> 200 mg par jour). 	
ITRACONAZOLE	TENOFOVIR ALAFENAMIDE	Precaution d'emploi En cas de co-administration avec l'itraconazole, la dose de tenofovir alafenamide doit etre limitee a 10 mg par jour. 	Voir aussi : inhibiteurs puissants du CYP3A4	Augmentation des concentrations plasmatiques du tenofovir alafenamide par augmentation de son absorption.			 En cas de co-administration avec l'itraconazole, la dose de tenofovir alafenamide doit etre limitee a 10 mg par jour. 	
ITRACONAZOLE	TRABECTEDINE	Association DECONSEILLEE Si l'association est necessaire, surveillance clinique et adaptation eventuelle de la posologie de la trabectedine pendant la duree du traitement par l'itraconazole. 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque d'augmentation des concentrations plasmatiques de la trabectedine par l'itraconazole.		 Si l'association est necessaire, surveillance clinique et adaptation eventuelle de la posologie de la trabectedine pendant la duree du traitement par l'itraconazole. 		
ITRACONAZOLE	VENLAFAXINE	A prendre en compte Augmentation des concentrations de venlafaxine avec risque de 	Voir aussi : inhibiteurs puissants du CYP3A4	Augmentation des concentrations de venlafaxine avec risque de surdosage.				
ITRACONAZOLE	VINCA-ALCALOIDES CYTOTOXIQUES	Association DECONSEILLEE Majoration de la neurotoxicite de l'antimitotique, par diminution de 	Voir aussi : inhibiteurs puissants du CYP3A4	Majoration de la neurotoxicite de l'antimitotique, par diminution de son metabolisme hepatique par l'itraconazole.				
IVABRADINE	JOSAMYCINE	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'ivabradine et 	Voir aussi : bradycardisants	Augmentation des concentrations plasmatiques de l'ivabradine et par consequent de ses effets indesirables (inhibition de son metabolisme hepatique par la josamycine).				
IVABRADINE	MILLEPERTUIS	Association DECONSEILLEE Risque de diminution de l'efficacite de l'ivabradine, par 	Voir aussi : bradycardisants	Risque de diminution de l'efficacite de l'ivabradine, par augmentation de son metabolisme par le millepertuis.				
IVABRADINE	PAMPLEMOUSSE (JUS ET FRUIT)	Association DECONSEILLEE 	Voir aussi : bradycardisants	Augmentation des concentrations plasmatiques de l'ivabradine et de ses effets indesirables (inhibition de son metabolisme intestinal par le pamplemousse).		 		
IVABRADINE	RIFAMPICINE	Precaution d'emploi Surveillance clinique et adaptation de la posologie de l'ivabradine pendant l'association et apres l'arret de la rifampicine. 	Voir aussi : bradycardisants	Risque de diminution de l'efficacite de l'ivabradine, par augmentation de son metabolisme par la rifampicine.			 Surveillance clinique et adaptation de la posologie de l'ivabradine pendant l'association et apres l'arret de la rifampicine. 	
IVABRADINE	VERAPAMIL	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'ivabradine et 	Voir aussi : bradycardisants	Augmentation des concentrations plasmatiques de l'ivabradine et de ses effets indesirables, notamment cardiaques (inhibition de son metabolisme hepatique par le verapamil), qui s'ajoutent aux effets bradycardisants de ces molecules.				
JOSAMYCINE	PIMOZIDE	CONTRE-INDICATION Risque majore de troubles du rythme ventriculaire, notamment de 	Voir aussi : macrolides (sauf spiramycine)	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes.				
JOSAMYCINE	SILDENAFIL	Precaution d'emploi Debuter le traitement par sildenafil a la dose minimale en cas d'association avec la josamycine. 	Voir aussi : macrolides (sauf spiramycine)	Augmentation des concentrations plasmatiques de sildenafil, avec risque d'hypotension.			 Debuter le traitement par sildenafil a la dose minimale en cas d'association avec la josamycine. 	
JOSAMYCINE	TACROLIMUS	Association DECONSEILLEE Augmentation des concentrations sanguines de tacrolimus et de la 	Voir aussi : macrolides (sauf spiramycine)	Augmentation des concentrations sanguines de tacrolimus et de la creatininemie, par inhibition du metabolisme hepatique du tacrolimus par la josamycine.				
JOSAMYCINE	THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)	A prendre en compte Risque d'augmentation de la theophyllinemie, particulierement chez 	Voir aussi : macrolides (sauf spiramycine)	Risque d'augmentation de la theophyllinemie, particulierement chez l'enfant.				
KETOCONAZOLE	LERCANIDIPINE	Association DECONSEILLEE Risque majore d'effets indesirables, notamment d'oedemes, par 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Risque majore d'effets indesirables, notamment d'oedemes, par diminution du metabolisme hepatique de la dihydropyridine.				
KETOCONAZOLE	LUMEFANTRINE	Association DECONSEILLEE Si cela est possible, interrompre le torsadogene associe. Si l'association ne peut etre evitee, controle prealable du QT et surveillance ECG monitoree. 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes.		 Si cela est possible, interrompre le torsadogene associe. Si l'association ne peut etre evitee, controle prealable du QT et surveillance ECG monitoree. 		
KETOCONAZOLE	MIZOLASTINE	CONTRE-INDICATION Risque de troubles du rythme ventriculaire, notamment de torsades 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Risque de troubles du rythme ventriculaire, notamment de torsades de pointes.				
KETOCONAZOLE	NEVIRAPINE	CONTRE-INDICATION Augmentation des concentrations plasmatiques de nevirapine par 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Augmentation des concentrations plasmatiques de nevirapine par diminution de son metabolisme hepatique par le ketoconazole, d'une part, et diminution des concentrations plasmatiques du ketoconazole par augmentation de son metabolisme hepatique par la nevirapine, d'autre part.				
KETOCONAZOLE	NINTEDANIB	Precaution d'emploi Surveillance clinique pendant l'association. 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Augmentation des concentrations plasmatiques du nintedanib par augmentation de son absorption par le ketoconazole.			 Surveillance clinique pendant l'association. 	
KETOCONAZOLE	RIFAMPICINE	Association DECONSEILLEE Diminution des concentrations plasmatiques et de l'efficacite des 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Diminution des concentrations plasmatiques et de l'efficacite des deux anti-infectieux (induction enzymatique par la rifampicine et diminution de l'absorption intestinale par l'azole antifongique).				
KETOCONAZOLE	SALMETEROL	A prendre en compte Augmentation importante des concentrations de salmeterol par 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Augmentation importante des concentrations de salmeterol par diminution de son metabolisme hepatique par le ketoconazole.				
KETOCONAZOLE	SIMVASTATINE	CONTRE-INDICATION Utiliser une statine non concernee par ce type d'interaction. 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse (diminution du metabolisme hepatique de l'hypocholesterolemiant).	 Utiliser une statine non concernee par ce type d'interaction. 			
KETOCONAZOLE	TENOFOVIR ALAFENAMIDE	Precaution d'emploi En cas de co-administration avec le ketoconazole, la dose de tenofovir alafenamide doit etre limitee a 10 mg par jour. 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Augmentation des concentrations plasmatiques du tenofovir alafenamide par augmentation de son absorption.			 En cas de co-administration avec le ketoconazole, la dose de tenofovir alafenamide doit etre limitee a 10 mg par jour. 	
KETOCONAZOLE	VENLAFAXINE	A prendre en compte Augmentation des concentrations de venlafaxine avec risque de 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Augmentation des concentrations de venlafaxine avec risque de surdosage. Thesaurus des interactions medicamenteuses				
KETOCONAZOLE	VINCA-ALCALOIDES CYTOTOXIQUES	Association DECONSEILLEE Majoration de la neurotoxicite de l'antimitotique, par diminution de 	Voir aussi : antabuse (reaction) - inhibiteurs puissants du CYP3A4	Majoration de la neurotoxicite de l'antimitotique, par diminution de son metabolisme hepatique par le ketoconazole.				
LAMIVUDINE	ZALCITABINE	Association DECONSEILLEE Risque de diminution de l'efficacite de chaque antiviral par 		Risque de diminution de l'efficacite de chaque antiviral par antagoniste competitif de la reaction de phosphorylation a l'origine des metabolites actifs.				
LAMOTRIGINE	OXCARBAZEPINE	Precaution d'emploi Surveillance clinique et controle des concentrations plasmatiques, avec adaptation de la posologie de la lamotrigine si besoin. 	Voir aussi : anticonvulsivants metabolises	Diminution des concentrations de la lamotrigine avec risque de moindre efficacite, par augmentation de son metabolisme hepatique par l'oxcarbazepine.			 Surveillance clinique et controle des concentrations plasmatiques, avec adaptation de la posologie de la lamotrigine si besoin. 	
LAMOTRIGINE	VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE	Association DECONSEILLEE Si l'association s'avere necessaire, surveillance clinique etroite. 	Voir aussi : anticonvulsivants metabolises	Risque majore de reactions cutanees graves (syndrome de Lyell). Par ailleurs, augmentation des concentrations plasmatiques de lamotrigine (diminution de son metabolisme hepatique par le valproate de sodium).		 Si l'association s'avere necessaire, surveillance clinique etroite. 		
LANSOPRAZOLE	TACROLIMUS	Precaution d'emploi Dosage des concentrations sanguines du tacrolimus, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 	Voir aussi : antisecretoires inhibiteurs de la pompe a protons - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations sanguines du tacrolimus.			 Dosage des concentrations sanguines du tacrolimus, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 	
LEDIPASVIR	MILLEPERTUIS	CONTRE-INDICATION 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Risque de diminution importante des concentrations plasmatiques du ledipasvir par augmentation de son metabolisme hepatique par le millepertuis.	 			
LEDIPASVIR	RIFAMPICINE	CONTRE-INDICATION 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution importante des concentrations plasmatiques du ledipasvir par augmentation de son metabolisme hepatique par la rifampicine.	 			
LEDIPASVIR	TENOFOVIR DISOPROXIL	Precaution d'emploi Surveillance clinique et biologique, notamment de la fonction renale. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Lors de sa co-administration avec un inhibiteur de protease, augmentation des concentrations plasmatiques du tenofovir par le ledipasvir.			 Surveillance clinique et biologique, notamment de la fonction renale. 	
LERCANIDIPINE	PAMPLEMOUSSE (JUS ET FRUIT)	A prendre en compte 	Voir aussi : antagonistes des canaux calciques - antihypertenseurs sauf alpha-bloquants - dihydropyridines - medicaments abaissant la pression arterielle	Risque majore d'effets indesirables, notamment d'oedemes, par diminution du metabolisme intestinal de la dihydropyridine.				 
LEVODOPA	METHYLDOPA	Precaution d'emploi Surveillance clinique et eventuellement diminution des doses de levodopa. 	Voir aussi : medicaments a l'origine d'une hypotension orthostatique	Augmentation des effets de la levodopa mais egalement de ses effets indesirables. Majoration de l'effet antihypertenseur de la methyldopa.			 Surveillance clinique et eventuellement diminution des doses de levodopa. 	
